trial,val_f1,val_recall,val_precision,val_auc,subsample,reg_lambda,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree
2,0.7836990595611285,0.8012820512820513,0.7668711656441718,0.9091359182822598,0.7,5.0,900,5,5,0.03,0.0,0.6
18,0.7717041800643086,0.7692307692307693,0.7741935483870968,0.9061392537002293,0.7,1.0,900,3,4,0.08,0.3,0.6
16,0.7697160883280757,0.782051282051282,0.7577639751552795,0.9035334584115071,1.0,2.0,700,5,4,0.03,0.3,0.6
10,0.76875,0.7884615384615384,0.75,0.9052532833020638,1.0,5.0,700,5,6,0.08,0.1,0.8
5,0.7677419354838709,0.7628205128205128,0.7727272727272727,0.9066343548050865,0.7,2.0,300,3,6,0.08,0.1,0.8
9,0.7625,0.782051282051282,0.7439024390243902,0.9017875755680634,1.0,5.0,500,1,4,0.03,0.0,1.0
13,0.7619047619047619,0.7692307692307693,0.7547169811320755,0.9044976026683345,0.8,2.0,300,5,8,0.05,0.0,0.6
12,0.7610062893081762,0.7756410256410257,0.7469135802469136,0.9039243277048155,0.9,2.0,500,5,5,0.05,0.0,0.8
7,0.75625,0.7756410256410257,0.7378048780487805,0.8998071711486345,0.9,1.0,300,1,5,0.03,0.1,1.0
6,0.7539936102236422,0.7564102564102564,0.7515923566878981,0.9029341254951011,0.8,1.0,700,3,8,0.05,0.3,0.6
3,0.752411575562701,0.75,0.7548387096774194,0.90256931415468,0.9,1.0,500,3,5,0.03,0.3,0.6
1,0.7523510971786834,0.7692307692307693,0.7361963190184049,0.9036637481759433,1.0,1.0,300,5,5,0.08,0.0,1.0
14,0.750788643533123,0.7628205128205128,0.7391304347826086,0.9010840108401084,0.8,1.0,300,3,5,0.03,0.0,0.6
15,0.7484662576687117,0.782051282051282,0.7176470588235294,0.8994684177611008,0.8,5.0,700,5,4,0.01,0.1,0.6
8,0.7483870967741936,0.7435897435897436,0.7532467532467533,0.9046278924327704,0.9,5.0,300,5,6,0.08,0.1,0.6
4,0.7460815047021944,0.7628205128205128,0.7300613496932515,0.8937096101730247,0.7,1.0,500,1,8,0.01,0.3,0.8
11,0.7388535031847133,0.7435897435897436,0.7341772151898734,0.9081196581196581,1.0,1.0,900,1,8,0.08,0.0,1.0
17,0.7378048780487805,0.7756410256410257,0.7034883720930233,0.8780748384406921,1.0,5.0,300,1,8,0.01,0.3,0.6
