threshold,f1,recall,precision,score
0.1,0.7575757575757576,0.9615384615384616,0.625,0.8187645687645687
0.11,0.7575757575757576,0.9615384615384616,0.625,0.8187645687645687
0.12000000000000001,0.7614213197969543,0.9615384615384616,0.6302521008403361,0.8214564623194064
0.13,0.7614213197969543,0.9615384615384616,0.6302521008403361,0.8214564623194064
0.14,0.7700258397932817,0.9551282051282052,0.645021645021645,0.8255565493937587
0.15000000000000002,0.772020725388601,0.9551282051282052,0.6478260869565218,0.8269529693104822
0.16,0.765625,0.9423076923076923,0.6447368421052632,0.8186298076923076
0.17,0.7777777777777778,0.9423076923076923,0.6621621621621622,0.8271367521367521
0.18,0.7733333333333333,0.9294871794871795,0.6621004566210046,0.8201794871794872
0.19,0.7754010695187166,0.9294871794871795,0.6651376146788991,0.8216269025092554
0.2,0.7795698924731183,0.9294871794871795,0.6712962962962963,0.8245450785773366
0.21000000000000002,0.7816711590296496,0.9294871794871795,0.6744186046511628,0.8260159651669086
0.22,0.7814207650273224,0.9166666666666666,0.680952380952381,0.8219945355191256
0.23,0.7814207650273224,0.9166666666666666,0.680952380952381,0.8219945355191256
0.24000000000000002,0.7823691460055097,0.9102564102564102,0.6859903381642513,0.8207353252807799
0.25,0.7833333333333333,0.9038461538461539,0.6911764705882353,0.8194871794871794
0.26,0.7821229050279329,0.8974358974358975,0.693069306930693,0.8167168027503222
0.27,0.7774647887323943,0.8846153846153846,0.6934673366834171,0.8096099674972914
0.28,0.7818696883852692,0.8846153846153846,0.700507614213198,0.8126933972543038
0.29000000000000004,0.7840909090909091,0.8846153846153846,0.7040816326530612,0.8142482517482517
0.30000000000000004,0.7828571428571428,0.8782051282051282,0.7061855670103093,0.8114615384615385
0.31,0.7896253602305475,0.8782051282051282,0.7172774869109948,0.8161992906229216
0.32,0.7896253602305475,0.8782051282051282,0.7172774869109948,0.8161992906229216
0.33,0.7848837209302325,0.8653846153846154,0.7180851063829787,0.8090339892665475
0.33999999999999997,0.783625730994152,0.8589743589743589,0.7204301075268817,0.806230319388214
0.35,0.7823529411764706,0.8525641025641025,0.7228260869565217,0.8034162895927601
0.36,0.7869822485207101,0.8525641025641025,0.7307692307692307,0.8066568047337278
0.37,0.7869822485207101,0.8525641025641025,0.7307692307692307,0.8066568047337278
0.38,0.7857142857142857,0.8461538461538461,0.7333333333333333,0.8038461538461538
0.39,0.7880597014925373,0.8461538461538461,0.7374301675977654,0.8054879448909299
0.4,0.7904191616766467,0.8461538461538461,0.7415730337078652,0.8071395670198065
0.41000000000000003,0.7904191616766467,0.8461538461538461,0.7415730337078652,0.8071395670198065
0.42000000000000004,0.7927927927927928,0.8461538461538461,0.7457627118644068,0.8088011088011088
0.43000000000000005,0.793939393939394,0.8397435897435898,0.7528735632183908,0.8076806526806526
0.44000000000000006,0.793939393939394,0.8397435897435898,0.7528735632183908,0.8076806526806526
0.45000000000000007,0.7926829268292683,0.8333333333333334,0.7558139534883721,0.8048780487804877
0.45999999999999996,0.7914110429447853,0.8269230769230769,0.7588235294117647,0.8020646531382727
0.47,0.7938461538461539,0.8269230769230769,0.7633136094674556,0.8037692307692308
0.48,0.7863777089783281,0.8141025641025641,0.7604790419161677,0.7946951655155989
0.49,0.7850467289719626,0.8076923076923077,0.7636363636363637,0.7918404025880661
0.5,0.7836990595611285,0.8012820512820513,0.7668711656441718,0.7889739570774054
0.51,0.780952380952381,0.7884615384615384,0.7735849056603774,0.7832051282051282
0.52,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307692
0.53,0.7652733118971061,0.7628205128205128,0.7677419354838709,0.764537472174128
0.54,0.7677419354838709,0.7628205128205128,0.7727272727272727,0.7662655086848634
0.55,0.7712418300653595,0.7564102564102564,0.7866666666666666,0.7667923579688285
0.56,0.7656765676567657,0.7435897435897436,0.7891156462585034,0.759050520436659
0.5700000000000001,0.7615894039735099,0.7371794871794872,0.7876712328767124,0.754266428935303
0.58,0.7574750830564784,0.7307692307692307,0.7862068965517242,0.7494633273703041
0.59,0.7516778523489933,0.717948717948718,0.7887323943661971,0.7415591120289107
0.6,0.75,0.7115384615384616,0.7928571428571428,0.7384615384615384
0.61,0.757679180887372,0.7115384615384616,0.8102189781021898,0.7438369650826988
0.62,0.757679180887372,0.7115384615384616,0.8102189781021898,0.7438369650826988
0.63,0.7430555555555556,0.6858974358974359,0.8106060606060606,0.7259081196581196
0.64,0.7456445993031359,0.6858974358974359,0.816793893129771,0.7277204502814258
0.65,0.7394366197183099,0.6730769230769231,0.8203125,0.7195287107258939
0.66,0.7420494699646644,0.6730769230769231,0.8267716535433071,0.721357705898342
0.67,0.7375886524822695,0.6666666666666666,0.8253968253968254,0.7163120567375886
0.6799999999999999,0.7357142857142858,0.6602564102564102,0.8306451612903226,0.713076923076923
0.69,0.7383512544802867,0.6602564102564102,0.8373983739837398,0.7149228012131237
0.7,0.7318840579710145,0.6474358974358975,0.8416666666666667,0.7065496098104793
0.71,0.7299270072992701,0.6410256410256411,0.847457627118644,0.7032565974171813
0.72,0.7279411764705882,0.6346153846153846,0.853448275862069,0.6999434389140271
0.73,0.7279411764705882,0.6346153846153846,0.853448275862069,0.6999434389140271
0.74,0.7333333333333333,0.6346153846153846,0.868421052631579,0.7037179487179487
0.75,0.7333333333333333,0.6346153846153846,0.868421052631579,0.7037179487179487
0.76,0.7313432835820896,0.6282051282051282,0.875,0.7004018369690012
0.77,0.7121212121212122,0.6025641025641025,0.8703703703703703,0.6792540792540792
0.78,0.7121212121212122,0.6025641025641025,0.8703703703703703,0.6792540792540792
0.79,0.7049808429118773,0.5897435897435898,0.8761904761904762,0.670409666961391
0.8,0.6926070038910506,0.5705128205128205,0.8811881188118812,0.6559787488775815
0.8099999999999999,0.6926070038910506,0.5705128205128205,0.8811881188118812,0.6559787488775815
0.82,0.6901960784313725,0.5641025641025641,0.8888888888888888,0.65236802413273
0.83,0.6746031746031746,0.5448717948717948,0.8854166666666666,0.6356837606837606
0.84,0.6666666666666666,0.532051282051282,0.8924731182795699,0.6262820512820513
0.85,0.6504065040650406,0.5128205128205128,0.8888888888888888,0.6091307066916822
0.86,0.6530612244897959,0.5128205128205128,0.898876404494382,0.6109890109890109
0.87,0.6307053941908713,0.48717948717948717,0.8941176470588236,0.587647622087456
0.88,0.6101694915254238,0.46153846153846156,0.9,0.5655801825293351
0.89,0.5862068965517241,0.4358974358974359,0.8947368421052632,0.5411140583554376
0.9,0.5550660792951542,0.40384615384615385,0.8873239436619719,0.509700101660454
